time,node_id,node_type,capacity,queue,load_ratio,is_overload,active_orders,delivered_orders,stuck_orders
0,wh0,warehouse,33,3,0.09090909090909091,0,71,0,0
0,wh1,warehouse,36,0,0.0,0,71,0,0
0,wh2,warehouse,26,1,0.038461538461538464,0,71,0,0
0,wh3,warehouse,29,0,0.0,0,71,0,0
0,hub0,hub,21,20,0.9523809523809523,0,71,0,0
0,hub1,hub,15,16,1.0666666666666667,1,71,0,0
0,hub2,hub,22,7,0.3181818181818182,0,71,0,0
0,hub3,hub,11,12,1.0909090909090908,1,71,0,0
0,hub4,hub,11,0,0.0,0,71,0,0
0,hub5,hub,23,7,0.30434782608695654,0,71,0,0
0,hub6,hub,10,5,0.5,0,71,0,0
0,pvz0,pvz,12,0,0.0,0,71,0,0
0,pvz1,pvz,7,0,0.0,0,71,0,0
0,pvz2,pvz,10,0,0.0,0,71,0,0
0,pvz3,pvz,10,0,0.0,0,71,0,0
0,pvz4,pvz,7,0,0.0,0,71,0,0
0,pvz5,pvz,5,0,0.0,0,71,0,0
0,pvz6,pvz,8,0,0.0,0,71,0,0
0,pvz7,pvz,11,0,0.0,0,71,0,0
0,pvz8,pvz,5,0,0.0,0,71,0,0
0,pvz9,pvz,12,0,0.0,0,71,0,0
0,pvz10,pvz,14,0,0.0,0,71,0,0
0,pvz11,pvz,10,0,0.0,0,71,0,0
0,pvz12,pvz,13,0,0.0,0,71,0,0
0,pvz13,pvz,15,0,0.0,0,71,0,0
0,pvz14,pvz,11,0,0.0,0,71,0,0
0,pvz15,pvz,11,0,0.0,0,71,0,0
0,pvz16,pvz,6,0,0.0,0,71,0,0
0,pvz17,pvz,6,0,0.0,0,71,0,0
0,pvz18,pvz,12,0,0.0,0,71,0,0
0,pvz19,pvz,7,0,0.0,0,71,0,0
1,wh0,warehouse,33,11,0.3333333333333333,0,149,0,0
1,wh1,warehouse,36,0,0.0,0,149,0,0
1,wh2,warehouse,26,2,0.07692307692307693,0,149,0,0
1,wh3,warehouse,29,0,0.0,0,149,0,0
1,hub0,hub,21,3,0.14285714285714285,0,149,0,0
1,hub1,hub,15,4,0.26666666666666666,0,149,0,0
1,hub2,hub,22,14,0.6363636363636364,0,149,0,0
1,hub3,hub,11,2,0.18181818181818182,0,149,0,0
1,hub4,hub,11,32,2.909090909090909,1,149,0,0
1,hub5,hub,23,21,0.9130434782608695,0,149,0,0
1,hub6,hub,10,5,0.5,0,149,0,0
1,pvz0,pvz,12,3,0.25,0,149,0,0
1,pvz1,pvz,7,4,0.5714285714285714,0,149,0,0
1,pvz2,pvz,10,4,0.4,0,149,0,0
1,pvz3,pvz,10,2,0.2,0,149,0,0
1,pvz4,pvz,7,4,0.5714285714285714,0,149,0,0
1,pvz5,pvz,5,0,0.0,0,149,0,0
1,pvz6,pvz,8,4,0.5,0,149,0,0
1,pvz7,pvz,11,4,0.36363636363636365,0,149,0,0
1,pvz8,pvz,5,2,0.4,0,149,0,0
1,pvz9,pvz,12,1,0.08333333333333333,0,149,0,0
1,pvz10,pvz,14,0,0.0,0,149,0,0
1,pvz11,pvz,10,5,0.5,0,149,0,0
1,pvz12,pvz,13,6,0.46153846153846156,0,149,0,0
1,pvz13,pvz,15,4,0.26666666666666666,0,149,0,0
1,pvz14,pvz,11,2,0.18181818181818182,0,149,0,0
1,pvz15,pvz,11,3,0.2727272727272727,0,149,0,0
1,pvz16,pvz,6,1,0.16666666666666666,0,149,0,0
1,pvz17,pvz,6,0,0.0,0,149,0,0
1,pvz18,pvz,12,2,0.16666666666666666,0,149,0,0
1,pvz19,pvz,7,4,0.5714285714285714,0,149,0,0
2,wh0,warehouse,33,26,0.7878787878787878,0,217,55,0
2,wh1,warehouse,36,0,0.0,0,217,55,0
2,wh2,warehouse,26,15,0.5769230769230769,0,217,55,0
2,wh3,warehouse,29,3,0.10344827586206896,0,217,55,0
2,hub0,hub,21,31,1.4761904761904763,1,217,55,0
2,hub1,hub,15,19,1.2666666666666666,1,217,55,0
2,hub2,hub,22,6,0.2727272727272727,0,217,55,0
2,hub3,hub,11,19,1.7272727272727273,1,217,55,0
2,hub4,hub,11,23,2.090909090909091,1,217,55,0
2,hub5,hub,23,16,0.6956521739130435,0,217,55,0
2,hub6,hub,10,6,0.6,0,217,55,0
2,pvz0,pvz,12,2,0.16666666666666666,0,217,55,0
2,pvz1,pvz,7,3,0.42857142857142855,0,217,55,0
2,pvz2,pvz,10,1,0.1,0,217,55,0
2,pvz3,pvz,10,0,0.0,0,217,55,0
2,pvz4,pvz,7,4,0.5714285714285714,0,217,55,0
2,pvz5,pvz,5,3,0.6,0,217,55,0
2,pvz6,pvz,8,2,0.25,0,217,55,0
2,pvz7,pvz,11,1,0.09090909090909091,0,217,55,0
2,pvz8,pvz,5,3,0.6,0,217,55,0
2,pvz9,pvz,12,2,0.16666666666666666,0,217,55,0
2,pvz10,pvz,14,1,0.07142857142857142,0,217,55,0
2,pvz11,pvz,10,4,0.4,0,217,55,0
2,pvz12,pvz,13,3,0.23076923076923078,0,217,55,0
2,pvz13,pvz,15,3,0.2,0,217,55,0
2,pvz14,pvz,11,0,0.0,0,217,55,0
2,pvz15,pvz,11,8,0.7272727272727273,0,217,55,0
2,pvz16,pvz,6,4,0.6666666666666666,0,217,55,0
2,pvz17,pvz,6,0,0.0,0,217,55,0
2,pvz18,pvz,12,5,0.4166666666666667,0,217,55,0
2,pvz19,pvz,7,4,0.5714285714285714,0,217,55,0
3,wh0,warehouse,33,40,1.2121212121212122,1,286,108,0
3,wh1,warehouse,36,0,0.0,0,286,108,0
3,wh2,warehouse,26,29,1.1153846153846154,1,286,108,0
3,wh3,warehouse,29,9,0.3103448275862069,0,286,108,0
3,hub0,hub,21,23,1.0952380952380953,1,286,108,0
3,hub1,hub,15,12,0.8,0,286,108,0
3,hub2,hub,22,31,1.4090909090909092,1,286,108,0
3,hub3,hub,11,13,1.1818181818181819,1,286,108,0
3,hub4,hub,11,34,3.090909090909091,1,286,108,0
3,hub5,hub,23,20,0.8695652173913043,0,286,108,0
3,hub6,hub,10,7,0.7,0,286,108,0
3,pvz0,pvz,12,1,0.08333333333333333,0,286,108,0
3,pvz1,pvz,7,3,0.42857142857142855,0,286,108,0
3,pvz2,pvz,10,5,0.5,0,286,108,0
3,pvz3,pvz,10,2,0.2,0,286,108,0
3,pvz4,pvz,7,4,0.5714285714285714,0,286,108,0
3,pvz5,pvz,5,0,0.0,0,286,108,0
3,pvz6,pvz,8,6,0.75,0,286,108,0
3,pvz7,pvz,11,4,0.36363636363636365,0,286,108,0
3,pvz8,pvz,5,3,0.6,0,286,108,0
3,pvz9,pvz,12,5,0.4166666666666667,0,286,108,0
3,pvz10,pvz,14,4,0.2857142857142857,0,286,108,0
3,pvz11,pvz,10,5,0.5,0,286,108,0
3,pvz12,pvz,13,1,0.07692307692307693,0,286,108,0
3,pvz13,pvz,15,7,0.4666666666666667,0,286,108,0
3,pvz14,pvz,11,3,0.2727272727272727,0,286,108,0
3,pvz15,pvz,11,1,0.09090909090909091,0,286,108,0
3,pvz16,pvz,6,4,0.6666666666666666,0,286,108,0
3,pvz17,pvz,6,4,0.6666666666666666,0,286,108,0
3,pvz18,pvz,12,1,0.08333333333333333,0,286,108,0
3,pvz19,pvz,7,5,0.7142857142857143,0,286,108,0
4,wh0,warehouse,33,49,1.4848484848484849,1,342,176,0
4,wh1,warehouse,36,1,0.027777777777777776,0,342,176,0
4,wh2,warehouse,26,36,1.3846153846153846,1,342,176,0
4,wh3,warehouse,29,18,0.6206896551724138,0,342,176,0
4,hub0,hub,21,40,1.9047619047619047,1,342,176,0
4,hub1,hub,15,17,1.1333333333333333,1,342,176,0
