time,node_id,node_type,capacity,queue,load_ratio,is_overload,active_orders,delivered_orders,stuck_orders,predicted_risk
0,wh0,warehouse,84,0,0.0,0,248,0,0,
0,wh1,warehouse,86,0,0.0,0,248,0,0,
0,wh2,warehouse,62,0,0.0,0,248,0,0,
0,wh3,warehouse,76,0,0.0,0,248,0,0,
0,wh4,warehouse,92,0,0.0,0,248,0,0,
0,wh5,warehouse,91,0,0.0,0,248,0,0,
0,wh6,warehouse,85,0,0.0,0,248,0,0,
0,wh7,warehouse,79,0,0.0,0,248,0,0,
0,wh8,warehouse,90,0,0.0,0,248,0,0,
0,wh9,warehouse,82,0,0.0,0,248,0,0,
0,hub0,hub,14,8,0.5714285714285714,0,248,0,0,
0,hub1,hub,11,18,1.6363636363636365,1,248,0,0,
0,hub2,hub,14,2,0.14285714285714285,0,248,0,0,
0,hub3,hub,11,11,1.0,0,248,0,0,
0,hub4,hub,12,17,1.4166666666666667,1,248,0,0,
0,hub5,hub,11,1,0.09090909090909091,0,248,0,0,
0,hub6,hub,10,6,0.6,0,248,0,0,
0,hub7,hub,14,2,0.14285714285714285,0,248,0,0,
0,hub8,hub,12,2,0.16666666666666666,0,248,0,0,
0,hub9,hub,14,16,1.1428571428571428,1,248,0,0,
0,hub10,hub,14,27,1.9285714285714286,1,248,0,0,
0,hub11,hub,11,17,1.5454545454545454,1,248,0,0,
0,hub12,hub,12,1,0.08333333333333333,0,248,0,0,
0,hub13,hub,10,11,1.1,1,248,0,0,
0,hub14,hub,10,4,0.4,0,248,0,0,
0,hub15,hub,12,8,0.6666666666666666,0,248,0,0,
0,hub16,hub,13,6,0.46153846153846156,0,248,0,0,
0,hub17,hub,14,28,2.0,1,248,0,0,
0,hub18,hub,10,16,1.6,1,248,0,0,
0,hub19,hub,12,11,0.9166666666666666,0,248,0,0,
0,hub20,hub,13,11,0.8461538461538461,0,248,0,0,
0,hub21,hub,12,5,0.4166666666666667,0,248,0,0,
0,hub22,hub,14,11,0.7857142857142857,0,248,0,0,
0,hub23,hub,11,5,0.45454545454545453,0,248,0,0,
0,hub24,hub,14,4,0.2857142857142857,0,248,0,0,
0,pvz0,pvz,75,0,0.0,0,248,0,0,
0,pvz1,pvz,74,0,0.0,0,248,0,0,
0,pvz2,pvz,87,0,0.0,0,248,0,0,
0,pvz3,pvz,76,0,0.0,0,248,0,0,
0,pvz4,pvz,68,0,0.0,0,248,0,0,
0,pvz5,pvz,61,0,0.0,0,248,0,0,
0,pvz6,pvz,85,0,0.0,0,248,0,0,
0,pvz7,pvz,89,0,0.0,0,248,0,0,
0,pvz8,pvz,77,0,0.0,0,248,0,0,
0,pvz9,pvz,89,0,0.0,0,248,0,0,
0,pvz10,pvz,60,0,0.0,0,248,0,0,
0,pvz11,pvz,62,0,0.0,0,248,0,0,
